date,clicks,conversions,promo
2026-05-01,900,31,0
2026-05-02,1013,34,0
2026-05-03,1043,36,0
2026-05-04,1070,33,0
2026-05-05,1191,39,0
2026-05-06,1273,45,0
2026-05-07,1115,34,0
2026-05-08,966,35,0
2026-05-09,996,31,0
2026-05-10,1044,38,0
2026-05-11,1141,38,0
2026-05-12,1240,44,0
2026-05-13,1335,46,0
2026-05-14,1091,35,0
2026-05-15,924,34,0
2026-05-16,1057,39,0
2026-05-17,1029,35,0
2026-05-18,1119,38,0
2026-05-19,1167,40,0
2026-05-20,1297,43,0
2026-05-21,1070,39,0
2026-05-22,928,31,0
2026-05-23,993,34,0
2026-05-24,1109,37,0
2026-05-25,1159,39,0
2026-05-26,1756,68,1
2026-05-27,1813,75,1
2026-05-28,1601,64,1
2026-05-29,948,35,0
2026-05-30,1062,37,0
2026-05-31,1051,35,0
2026-06-01,1149,39,0
2026-06-02,1237,42,0
2026-06-03,1353,47,0
2026-06-04,1217,41,0
2026-06-05,930,31,0
2026-06-06,1070,34,0
2026-06-07,1163,39,0
2026-06-08,1160,43,0
2026-06-09,1289,43,0
2026-06-10,1408,47,0
2026-06-11,1192,42,0
2026-06-12,926,35,0
2026-06-13,1089,35,0
2026-06-14,1196,41,0
2026-06-15,1137,38,0
2026-06-16,1344,43,0
2026-06-17,1426,51,0
2026-06-18,1179,41,0
2026-06-19,1068,37,0
2026-06-20,1130,38,0
2026-06-21,1109,39,0
2026-06-22,1217,41,0
2026-06-23,1350,46,0
2026-06-24,1432,47,0
2026-06-25,1736,67,1
2026-06-26,1398,58,1
2026-06-27,1586,62,1
2026-06-28,1229,43,0
2026-06-29,1202,42,0
2026-06-30,1352,46,0
2026-07-01,1440,49,0
2026-07-02,1241,44,0
2026-07-03,965,33,0
2026-07-04,1104,38,0
2026-07-05,1178,41,0
2026-07-06,1281,47,0
2026-07-07,1406,50,0
2026-07-08,1423,50,0
2026-07-09,1220,41,0
2026-07-10,1051,34,0
2026-07-11,1062,39,0
2026-07-12,1182,43,0
2026-07-13,1256,43,0
2026-07-14,1427,51,0
2026-07-15,1522,54,0
2026-07-16,1254,45,0
2026-07-17,1023,37,0
2026-07-18,1145,39,0
2026-07-19,1276,47,0
2026-07-20,1258,41,0
2026-07-21,1382,50,0
2026-07-22,1527,54,0
2026-07-23,1277,46,0
2026-07-24,1043,40,0
2026-07-25,1593,67,1
2026-07-26,1722,67,1
2026-07-27,1790,68,1
2026-07-28,1457,52,0
2026-07-29,1557,52,0
2026-07-30,1297,45,0
2026-07-31,1090,39,0
2026-08-01,1170,37,0
2026-08-02,1287,40,0
2026-08-03,1306,46,0
2026-08-04,1451,50,0
2026-08-05,1497,51,0
2026-08-06,1327,46,0
2026-08-07,1008,33,0
2026-08-08,1116,36,0
2026-08-09,1247,43,0
2026-08-10,1286,43,0
2026-08-11,1451,47,0
2026-08-12,1657,59,0
2026-08-13,1295,45,0
2026-08-14,1064,38,0
2026-08-15,1220,40,0
2026-08-16,1294,43,0
2026-08-17,1330,44,0
2026-08-18,1453,49,0
2026-08-19,1614,56,0
2026-08-20,1364,46,0
2026-08-21,1060,37,0
2026-08-22,1222,43,0
2026-08-23,1290,49,0
2026-08-24,1310,43,0
2026-08-25,1488,53,0
2026-08-26,1569,54,0
2026-08-27,1398,48,0
2026-08-28,1121,36,0
